"raw_record_id","event_date","period","region_name","location","category","subcategory","status","owner_group","quantity","metric_value","metric_cost","score","cycle_hours","sla_met","risk_flag","notes"
"SALESCOMMERCIAL-00001","2025-07-09","2025-07","Northern","Tabuk Cluster","Home & Living","Premium","In Progress","Key Accounts","10","1107.1","777.18","75","12.69","No","At Risk","SYNTHETIC DEMO DATA — Revenue, profitability, product/category performance, regional performance, targets versus actuals, and customer segmentation."
"SALESCOMMERCIAL-00002","2025-07-22","2025-07","Central","Abha Cluster","Grocery","Seasonal","Completed","Commercial Central","7","1537.46","1097.75","75","13.68","Yes","Controlled","SYNTHETIC DEMO DATA — Revenue, profitability, product/category performance, regional performance, targets versus actuals, and customer segmentation."
"SALESCOMMERCIAL-00003","2025-08-04","2025-08","Eastern","Riyadh Metro","Apparel","Value","Completed","Key Accounts","4","1579.38","1146.63","76","14.67","Yes","Controlled","SYNTHETIC DEMO DATA — Revenue, profitability, product/category performance, regional performance, targets versus actuals, and customer segmentation."
"SALESCOMMERCIAL-00004","2025-08-17","2025-08","Southern","Jeddah Coast","Electronics","Core","Returned","Commercial Central","1","1335.82","985.84","77","15.66","Yes","At Risk","SYNTHETIC DEMO DATA — Revenue, profitability, product/category performance, regional performance, targets versus actuals, and customer segmentation."
"SALESCOMMERCIAL-00005","2025-08-30","2025-08","Western","Dammam Hub","Home & Living","Premium","In Progress","Key Accounts","10","1841.46","1270.61","78","16.65","Yes","Controlled","SYNTHETIC DEMO DATA — Revenue, profitability, product/category performance, regional performance, targets versus actuals, and customer segmentation."
"SALESCOMMERCIAL-00006","2025-09-12","2025-09","Northern","Tabuk Cluster","Grocery","Seasonal","Completed","Commercial Central","7","1657.83","1163.8","79","17.64","Yes","Controlled","SYNTHETIC DEMO DATA — Revenue, profitability, product/category performance, regional performance, targets versus actuals, and customer segmentation."
"SALESCOMMERCIAL-00007","2025-09-25","2025-09","Central","Abha Cluster","Apparel","Value","Completed","Key Accounts","4","2262.32","1615.3","80","18.63","Yes","Controlled","SYNTHETIC DEMO DATA — Revenue, profitability, product/category performance, regional performance, targets versus actuals, and customer segmentation."
"SALESCOMMERCIAL-00008","2025-10-08","2025-10","Eastern","Riyadh Metro","Electronics","Core","Returned","Commercial Central","1","1684.9","1223.24","81","19.62","Yes","At Risk","SYNTHETIC DEMO DATA — Revenue, profitability, product/category performance, regional performance, targets versus actuals, and customer segmentation."
"SALESCOMMERCIAL-00009","2025-10-21","2025-10","Southern","Jeddah Coast","Home & Living","Premium","In Progress","Key Accounts","10","832.76","614.58","81","20.61","No","At Risk","SYNTHETIC DEMO DATA — Revenue, profitability, product/category performance, regional performance, targets versus actuals, and customer segmentation."
"SALESCOMMERCIAL-00010","2025-11-03","2025-11","Western","Dammam Hub","Grocery","Seasonal","Completed","Commercial Central","7","1240.34","855.83","82","21.6","No","At Risk","SYNTHETIC DEMO DATA — Revenue, profitability, product/category performance, regional performance, targets versus actuals, and customer segmentation."
"SALESCOMMERCIAL-00011","2025-11-16","2025-11",,"Tabuk Cluster","Apparel","Value","Completed","Key Accounts","4","1079.29","757.66","74","22.59","Yes","Controlled","SYNTHETIC DEMO DATA — Revenue, profitability, product/category performance, regional performance, targets versus actuals, and customer segmentation."
