"raw_record_id","event_date","period","region_name","location","category","subcategory","status","owner_group","quantity","metric_value","metric_cost","score","cycle_hours","sla_met","risk_flag","notes"
"NETWORKOPERATIONS-00001","2025-07-31","2025-07","Central","Site CT-452","High","Power","Monitoring","Regional NOC","10","11682.66","1775.76","96","36.66","No","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00002","2025-08-13","2025-08","Eastern","Site CT-589","Medium","Backhaul","Resolved","NOC Radio","7","12054.14","1976.88","96","39.52","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00003","2025-08-26","2025-08","Southern","Site CT-101","Low","Radio","Resolved","Regional NOC","4","10234.72","1801.31","97","42.38","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00004","2025-09-08","2025-09","Western","Site CT-214","Critical","Transmission","Open","NOC Radio","1","14865.16","2794.65","98","45.24","Yes","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00005","2025-09-21","2025-09","Northern","Site CT-337","High","Power","Monitoring","Regional NOC","10","12784.63","1789.85","99","48.1","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00006","2025-10-04","2025-10","Central","Site CT-452","Medium","Backhaul","Resolved","NOC Radio","7","13560.53","2061.2","100","50.96","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00007","2025-10-17","2025-10","Eastern","Site CT-589","Low","Radio","Resolved","Regional NOC","4","13061.45","2142.08","100","53.82","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00008","2025-10-30","2025-10","Southern","Site CT-101","Critical","Transmission","Open","NOC Radio","1","10918.47","1921.65","100","56.68","Yes","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00009","2025-11-12","2025-11","Western","Site CT-214","High","Power","Monitoring","Regional NOC","10","9377.45","1762.96","100","59.54","No","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00010","2025-11-25","2025-11","Northern","Site CT-337","Medium","Backhaul","Resolved","NOC Radio","7","8201.2","1148.17","100","62.4","No","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00011","2025-12-08","2025-12",,"Site CT-452","Low","Radio","Resolved","Regional NOC","4","12059.18","1833","95","65.26","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00012","2025-12-21","2025-12","Eastern","Site CT-589","Critical","Transmission","Open","NOC Radio","1","11768.6","1930.05","96","68.12","Yes","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00013","2026-01-03","2026-01","Southern","Site CT-101","High","Power","Monitoring","Regional NOC","10","10686.1","1880.75","96","33.8","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00014","2026-01-16","2026-01","Western","Site CT-214","Medium","Backhaul","Resolved","NOC Radio","7","14731.07","2769.44","97","36.66","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00015","2026-01-29","2026-01","Northern","Site CT-337","Low","Radio","Resolved","Regional NOC","4","12630.59","1768.28","98","39.52","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00016","2026-02-11","2026-02","Central","Site CT-452","Critical","Transmission","Open","NOC Radio","1","18143.19","2757.76","99","42.38","Yes","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00017","2026-02-24","2026-02","Eastern","Site CT-589","High","Power","Monitoring","Regional NOC","10","17432.16","2858.87","100","45.24","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00018","2026-03-09","2026-03","Southern","Site CT-101","Medium","Backhaul","Resolved","NOC Radio","7","9046.69","1592.22","100","48.1","No","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00019","2026-03-22","2026-03","Western","Site CT-214","Low","Radio","Resolved","Regional NOC","4","12681.73","2384.17","100","50.96","No","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00020","2026-04-04","2026-04","Northern","Site CT-337","Critical","Transmission","Open","NOC Radio","1","8548.91","1196.85","100","53.82","Yes","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00021","2026-04-17","2026-04","Central","Site CT-452","High","Power","Monitoring","Regional NOC","10","11819.97","1796.64","100","56.68","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00022","2026-04-30","2026-04","Eastern","Site CT-589","Medium","Backhaul","Resolved","NOC Radio","7","11490.6","1884.46","95","59.54","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00023","2026-05-13","2026-05","Southern","Site CT-101","Low","Radio","Resolved","Regional NOC","4","10290.62","1811.15","96","62.4","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00024","2026-05-26","2026-05","Western","Site CT-214","Critical","Transmission","Open","NOC Radio","1","14142.54","2658.8","96","65.26","Yes","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00025","2026-06-08","2026-06","Northern","Site CT-337","High","Power","Monitoring","Regional NOC","10","12804.05","1792.57","97","68.12","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00026","2026-06-21","2026-06","Central","Site CT-452","Medium","Backhaul","Resolved","NOC Radio","7","17429.45","2649.28","98","33.8","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00027","2025-01-10","2025-01","Eastern","Site CT-589","Low","Radio","Resolved","Regional NOC","4","9588.59","1572.53","99","36.66","No","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00028","2025-01-23","2025-01","Southern","Site CT-101","Critical","Transmission","Open","NOC Radio","1","8218.61","1446.48","100","39.52","No","At Risk","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
"NETWORKOPERATIONS-00029","2025-02-05","2025-02","Western","Site CT-214","High","Power","Monitoring","Regional NOC","10","12066.21","2268.45","100","42.38","Yes","Controlled","SYNTHETIC DEMO DATA — Network sites, availability, outages, downtime, incident severity, and regional performance."
