"Order_ID","Order_Date","Order_Month","Customer","Region","City","Sales_Channel","Product_Category","Product","Quantity","Unit_Price","Revenue","Cost","Profit","Sales_Representative","Status"
"ORD-2025-0001","2025-01-12","2025-01","Fictional Enterprise 014","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","192.5","1540.0","1008.70","531.30","Amina Saleh","Completed"
"ORD-2025-0002","2025-01-23","2025-01","Fictional Enterprise 027","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","255","1785","1231.65","553.35","Omar Haddad","Completed"
"ORD-2025-0003","2025-02-03","2025-02","Fictional Enterprise 040","Eastern","Dammam","Digital","Governance","Control Center","6","187.5","1125.0","815.62","309.38","Lina Nasser","Completed"
"ORD-2025-0004","2025-02-14","2025-02","Fictional Enterprise 053","Northern","Tabuk","Partner","Operations","Process Monitor","5","155","775","589.00","186.00","Yousef Karim","In Progress"
"ORD-2025-0005","2025-02-25","2025-02","Fictional Enterprise 066","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","222.5","890.0","551.80","338.20","Sara Mansour","Completed"
"ORD-2025-0006","2025-03-08","2025-03","Fictional Enterprise 079","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","240","720","471.60","248.40","Fahad Rahman","Completed"
"ORD-2025-0007","2025-03-19","2025-03","Fictional Enterprise 092","Eastern","Dammam","Digital","Governance","Control Center","2","172.5","345.0","238.05","106.95","Amina Saleh","Completed"
"ORD-2025-0008","2025-03-30","2025-03","Fictional Enterprise 105","Northern","Tabuk","Partner","Operations","Process Monitor","1","140","140","101.50","38.50","Omar Haddad","In Progress"
"ORD-2025-0009","2025-04-10","2025-04","Fictional Enterprise 118","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","207.5","1660.0","1261.60","398.40","Lina Nasser","Completed"
"ORD-2025-0010","2025-04-21","2025-04","Fictional Enterprise 131","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","270","1890","1171.80","718.20","Yousef Karim","Completed"
"ORD-2025-0011","2025-05-02","2025-05","Fictional Enterprise 144",,"Dammam","Digital","Governance","Control Center","6","202.5","1215.0","795.82","419.18","Sara Mansour","Completed"
"ORD-2025-0012","2025-05-13","2025-05","Fictional Enterprise 157","Northern","Tabuk","Partner","Operations","Process Monitor","5","125","625","431.25","193.75","Fahad Rahman","In Progress"
"ORD-2025-0013","2025-05-24","2025-05","Fictional Enterprise 010","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","192.5","770.0","558.25","211.75","Amina Saleh","Completed"
"ORD-2025-0014","2025-06-04","2025-06","Fictional Enterprise 023","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","255","765","581.40","183.60","Omar Haddad","Completed"
"ORD-2025-0015","2025-06-15","2025-06","Fictional Enterprise 036","Eastern","Dammam","Digital","Governance","Control Center","2","187.5","375.0","232.50","142.50","Lina Nasser","Completed"
"ORD-2025-0016","2025-06-26","2025-06","Fictional Enterprise 049","Northern","Tabuk","Partner","Operations","Process Monitor","1","155","155","101.52","53.48","Yousef Karim","In Progress"
"ORD-2025-0017","2025-07-07","2025-07","Fictional Enterprise 062","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","222.5","1780.0","1228.20","551.80","Sara Mansour","Completed"
"ORD-2025-0018","2025-07-18","2025-07","Fictional Enterprise 075","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","240","1680","1218.00","462.00","Fahad Rahman","Completed"
"ORD-2025-0019","2025-07-29","2025-07","Fictional Enterprise 088","Eastern","Dammam","Digital","Governance","Control Center","6","172.5","1035.0","786.60","248.40","Amina Saleh","Completed"
"ORD-2025-0020","2025-08-09","2025-08","Fictional Enterprise 101","Northern","Tabuk","Partner","Operations","Process Monitor","5","140","700","434.00","266.00","Omar Haddad","In Progress"
"ORD-2025-0021","2025-08-20","2025-08","Fictional Enterprise 114","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","207.5","830.0","543.65","286.35","Lina Nasser","Completed"
"ORD-2025-0022","2025-08-31","2025-08","Fictional Enterprise 127","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","270","810","558.90","251.10","Yousef Karim","Completed"
"ORD-2025-0023","2025-09-11","2025-09","Fictional Enterprise 140","Eastern","Dammam","Digital","Governance","Control Center","2","202.5","405.0","293.62","111.38","Sara Mansour","Completed"
"ORD-2025-0024","2025-09-22","2025-09","Fictional Enterprise 153","Northern","Tabuk","Partner","Operations","Process Monitor","1","125","125","95.00","30.00","Fahad Rahman","In Progress"
"ORD-2025-0025","2025-10-03","2025-10","Fictional Enterprise 006","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","192.5","1540.0","954.80","585.20","Amina Saleh","Completed"
"ORD-2025-0026","2025-10-14","2025-10","Fictional Enterprise 019","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","255","1785","1169.18","615.82","Omar Haddad","Completed"
"ORD-2025-0027","2025-10-25","2025-10","Fictional Enterprise 032","Eastern","Dammam","Digital","Governance","Control Center","6","187.5","1125.0","776.25","348.75","Lina Nasser","Completed"
"ORD-2025-0028","2025-11-05","2025-11","Fictional Enterprise 045","Northern","Tabuk","Partner","Operations","Process Monitor","5","155","775","561.88","213.12","Yousef Karim","In Progress"
"ORD-2025-0029","2025-11-16","2025-11","Fictional Enterprise 058","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","222.5","890.0","676.40","213.60","Sara Mansour","Completed"
"ORD-2025-0030","2025-11-27","2025-11","Fictional Enterprise 071","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","240","720","446.40","273.60","Fahad Rahman","Completed"
"ORD-2025-0031","2025-12-08","2025-12","Fictional Enterprise 084","Eastern","Dammam","Digital","Governance","Control Center","2","172.5","345.0","225.98","119.02","Amina Saleh","Completed"
"ORD-2025-0032","2025-12-19","2025-12","Fictional Enterprise 097","Northern","Tabuk","Partner","Operations","Process Monitor","1","140","140","96.60","43.40","Omar Haddad","In Progress"
"ORD-2025-0033","2025-12-30","2025-12","Fictional Enterprise 110","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","207.5","1660.0","1203.50","456.50","Lina Nasser","Completed"
"ORD-2025-0034","2025-01-10","2025-01","Fictional Enterprise 123","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","270","1890","1436.40","453.60","Yousef Karim","Completed"
"ORD-2025-0035","2025-01-21","2025-01","Fictional Enterprise 136","Eastern","Dammam","Digital","Governance","Control Center","6","202.5","1215.0","753.30","461.70","Sara Mansour","Completed"
"ORD-2025-0036","2025-02-01","2025-02","Fictional Enterprise 149","Northern","Tabuk","Partner","Operations","Process Monitor","5","125","625","409.38","215.62","Fahad Rahman","In Progress"
"ORD-2025-0037","2025-02-12","2025-02","Fictional Enterprise 002","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","192.5","770.0","531.30","238.70","Amina Saleh","Completed"
"ORD-2025-0038","2025-02-23","2025-02","Fictional Enterprise 015","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","255","765","554.62","210.38","Omar Haddad","Completed"
"ORD-2025-0039","2025-03-06","2025-03","Fictional Enterprise 028","Eastern","Dammam","Digital","Governance","Control Center","2","187.5","375.0","285.00","90.00","Lina Nasser","Completed"
"ORD-2025-0040","2025-03-17","2025-03","Fictional Enterprise 041","Northern","Tabuk","Partner","Operations","Process Monitor","1","155","155","96.10","58.90","Yousef Karim","In Progress"
"ORD-2025-0041","2025-03-28","2025-03","Fictional Enterprise 054","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","222.5","1780.0","1165.90","614.10","Sara Mansour","Completed"
"ORD-2025-0042","2025-04-08","2025-04","Fictional Enterprise 067","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","240","1680","1159.20","520.80","Fahad Rahman","Completed"
"ORD-2025-0043","2025-04-19","2025-04","Fictional Enterprise 080","Eastern","Dammam","Digital","Governance","Control Center","6","172.5","1035.0","750.38","284.62","Amina Saleh","Completed"
"ORD-2025-0044","2025-04-30","2025-04","Fictional Enterprise 093","Northern","Tabuk","Partner","Operations","Process Monitor","5","140","700","532.00","168.00","Omar Haddad","In Progress"
"ORD-2025-0045","2025-05-11","2025-05","Fictional Enterprise 106","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","207.5","830.0","514.60","315.40","Lina Nasser","Completed"
"ORD-2025-0046","2025-05-22","2025-05","Fictional Enterprise 119","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","270","810","530.55","279.45","Yousef Karim","Completed"
"ORD-2025-0047","2025-06-02","2025-06","Fictional Enterprise 132","Eastern","Dammam","Digital","Governance","Control Center","2","202.5","405.0","279.45","125.55","Sara Mansour","Completed"
"ORD-2025-0048","2025-06-13","2025-06","Fictional Enterprise 145","Northern","Tabuk","Partner","Operations","Process Monitor","1","125","125","90.62","34.38","Fahad Rahman","In Progress"
"ORD-2025-0049","2025-06-24","2025-06","Fictional Enterprise 158","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","192.5","1540.0","1170.40","369.60","Amina Saleh","Completed"
"ORD-2025-0050","2025-07-05","2025-07","Fictional Enterprise 011","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","255","1785","1106.70","678.30","Omar Haddad","Completed"
"ORD-2025-0051","2025-07-16","2025-07","Fictional Enterprise 024","eastern","Dammam","Digital","Governance","Control Center","6","187.5","1125.0","736.88","388.12","Lina Nasser","Completed"
"ORD-2025-0052","2025-07-27","2025-07","Fictional Enterprise 037","Northern","Tabuk","Partner","Operations","Process Monitor","5","155","775","534.75","240.25","Yousef Karim","In Progress"
"ORD-2025-0053","2025-08-07","2025-08","Fictional Enterprise 050","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","222.5","890.0","645.25","244.75","Sara Mansour","Completed"
"ORD-2025-0054","2025-08-18","2025-08","Fictional Enterprise 063","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","240","720","547.20","172.80","Fahad Rahman","Completed"
"ORD-2025-0055","2025-08-29","2025-08","Fictional Enterprise 076","Eastern","Dammam","Digital","Governance","Control Center","2","172.5","345.0","213.90","131.10","Amina Saleh","Completed"
"ORD-2025-0056","2025-09-09","2025-09","Fictional Enterprise 089","Northern","Tabuk","Partner","Operations","Process Monitor","1","140","140","91.70","48.30","Omar Haddad","In Progress"
"ORD-2025-0057","2025-09-20","2025-09","Fictional Enterprise 102","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","207.5","1660.0","1145.40","514.60","Lina Nasser","Completed"
"ORD-2025-0058","2025-10-01","2025-10","Fictional Enterprise 115","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","270","1890","1370.25","519.75","Yousef Karim","Completed"
"ORD-2025-0059","2025-10-12","2025-10","Fictional Enterprise 128","Eastern","Dammam","Digital","Governance","Control Center","6","202.5","1215.0","923.40","291.60","Sara Mansour","Completed"
"ORD-2025-0060","2025-10-23","2025-10","Fictional Enterprise 141","Northern","Tabuk","Partner","Operations","Process Monitor","5","125","625","387.50","237.50","Fahad Rahman","In Progress"
"ORD-2025-0061","2025-11-03","2025-11","Fictional Enterprise 154","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","192.5","770.0","504.35","265.65","Amina Saleh","Completed"
