"raw_record_id","event_date","period","region_name","location","category","subcategory","status","owner_group","quantity","metric_value","metric_cost","score","cycle_hours","sla_met","risk_flag","notes"
"EHSCOMPLIANCE-00001","2025-06-17","2025-06","Western","Facility MF-18","Moderate","Inspection","Action Due","Compliance Office","10","5598.64","1018.95","90","26.79","No","At Risk","SYNTHETIC DEMO DATA — Safety inspections, observations, incidents, corrective actions, risk levels, and compliance scores."
"EHSCOMPLIANCE-00002","2025-06-30","2025-06","Northern","Facility MF-23","High","Corrective Action","Closed","EHS West","7","4957.86","961.82","90","28.88","Yes","Controlled","SYNTHETIC DEMO DATA — Safety inspections, observations, incidents, corrective actions, risk levels, and compliance scores."
"EHSCOMPLIANCE-00003","2025-07-13","2025-07","Central","Facility MF-01","Critical","Incident","Closed","Compliance Office","4","7235.71","1490.56","91","30.97","Yes","Controlled","SYNTHETIC DEMO DATA — Safety inspections, observations, incidents, corrective actions, risk levels, and compliance scores."
"EHSCOMPLIANCE-00004","2025-07-26","2025-07","Eastern","Facility MF-07","Low","Observation","Escalated","EHS West","1","7034.09","1533.43","92","33.06","Yes","At Risk","SYNTHETIC DEMO DATA — Safety inspections, observations, incidents, corrective actions, risk levels, and compliance scores."
"EHSCOMPLIANCE-00005","2025-08-08","2025-08","Southern","Facility MF-12","Moderate","Inspection","Action Due","Compliance Office","10","6241","1060.97","93","35.15","Yes","Controlled","SYNTHETIC DEMO DATA — Safety inspections, observations, incidents, corrective actions, risk levels, and compliance scores."
"EHSCOMPLIANCE-00006","2025-08-21","2025-08","Western","Facility MF-18","High","Corrective Action","Closed","EHS West","7","8577.09","1561.03","94","37.24","Yes","Controlled","SYNTHETIC DEMO DATA — Safety inspections, observations, incidents, corrective actions, risk levels, and compliance scores."
"EHSCOMPLIANCE-00007","2025-09-03","2025-09","Northern","Facility MF-23","Critical","Incident","Closed","Compliance Office","4","7700.61","1493.92","95","39.33","Yes","Controlled","SYNTHETIC DEMO DATA — Safety inspections, observations, incidents, corrective actions, risk levels, and compliance scores."
"EHSCOMPLIANCE-00008","2025-09-16","2025-09","Central","Facility MF-01","Low","Observation","Escalated","EHS West","1","10482.42","2159.38","96","41.42","Yes","At Risk","SYNTHETIC DEMO DATA — Safety inspections, observations, incidents, corrective actions, risk levels, and compliance scores."
"EHSCOMPLIANCE-00009","2025-09-29","2025-09","Eastern","Facility MF-07","Moderate","Inspection","Action Due","Compliance Office","10","6058.41","1320.73","96","43.51","No","At Risk","SYNTHETIC DEMO DATA — Safety inspections, observations, incidents, corrective actions, risk levels, and compliance scores."
"EHSCOMPLIANCE-00010","2025-10-12","2025-10","Southern","Facility MF-12","High","Corrective Action","Closed","EHS West","7","3956.43","672.59","97","45.6","No","At Risk","SYNTHETIC DEMO DATA — Safety inspections, observations, incidents, corrective actions, risk levels, and compliance scores."
